1133.399: [GC 2572660K->1126010K(6238336K), 0.0683610 secs]
1139.492: [GC 2592506K->1146231K(6238208K), 0.0695290 secs]
1145.657: [GC 2612727K->1166585K(6238464K), 0.0675140 secs]
1151.628: [GC 2633401K->1187667K(6238400K), 0.0739570 secs]
1157.920: [GC 2654483K->1209559K(6238144K), 0.0700650 secs]
1164.017: [GC 2676055K->1231380K(6237376K), 0.0712870 secs]
1170.165: [GC 2697876K->1250783K(6238272K), 0.0695080 secs]
1176.320: [GC 2717215K->1272749K(6238208K), 0.0708600 secs]
1181.911: [GC 2739181K->1295571K(6237888K), 0.0714360 secs]
1187.634: [GC 2761811K->1316837K(6238144K), 0.0731240 secs]
1193.714: [GC 2783077K->1338774K(6238144K), 0.0797240 secs]
1199.397: [GC 2805014K->1360277K(6238144K), 0.0758810 secs]
1205.412: [GC 2826517K->1381361K(6238272K), 0.0865800 secs]
1211.079: [GC 2847793K->1401836K(6238208K), 0.0715230 secs]
1217.024: [GC 2868268K->1425399K(6237760K), 0.0728110 secs]
1222.849: [GC 2891383K->1447586K(6238016K), 0.0748680 secs]
1228.439: [GC 2913570K->1470295K(6238208K), 0.0992750 secs]
1234.363: [GC 2936599K->1493219K(6237440K), 0.0728460 secs]
1239.942: [GC 2959523K->1515190K(6238144K), 0.0733680 secs]
1245.559: [GC 2981366K->1539708K(6238080K), 0.0759010 secs]
1251.468: [GC 3005884K->1561705K(6220800K), 0.0757910 secs]
1256.669: [GC 3010537K->1583587K(6229440K), 0.0727240 secs]
1262.449: [GC 3032419K->1605829K(6229888K), 0.0732440 secs]
1267.636: [GC 3055365K->1629126K(6229696K), 0.0722980 secs]
1272.943: [GC 3078662K->1650889K(6230592K), 0.0775750 secs]
1278.745: [GC 3101769K->1675097K(6230336K), 0.0734370 secs]
1284.164: [GC 3125977K->1698301K(6231872K), 0.0790580 secs]
1289.498: [GC 3151421K->1721320K(6231296K), 0.0750610 secs]
1294.701: [GC 3174440K->1744567K(6232832K), 0.0766350 secs]
1300.032: [GC 3199799K->1767692K(6232448K), 0.1043830 secs]
1305.422: [GC 3222924K->1791038K(6233728K), 0.0743860 secs]
1310.858: [GC 3247933K->1814847K(6233216K), 0.0752850 secs]
1316.019: [GC 3271743K->1837125K(6234432K), 0.0743050 secs]
1321.066: [GC 3295557K->1859618K(6234048K), 0.0747980 secs]
1326.294: [GC 3318050K->1883308K(6234944K), 0.0787550 secs]
1331.340: [GC 3342828K->1907278K(6234624K), 0.0761270 secs]
1337.013: [GC 3366798K->1953283K(6202304K), 0.1146230 secs]
1342.714: [GC 3380867K->2005762K(6218816K), 0.1134430 secs]
1348.880: [GC 3433346K->2040987K(6155200K), 0.1219650 secs]
1354.743: [GC 3404955K->2072630K(6187008K), 0.0999180 secs]
1360.427: [GC 3436598K->2077384K(6189120K), 0.0823220 secs]
1365.665: [GC 3444040K->2100356K(6187584K), 0.0800050 secs]
1370.835: [GC 3467012K->2123219K(6191360K), 0.0754800 secs]
1375.216: [GC 3494547K->2146890K(6190016K), 0.0760880 secs]
1380.021: [GC 3518218K->2169179K(6194176K), 0.0753490 secs]
1384.860: [GC 3546075K->2195235K(6192768K), 0.0778720 secs]
1389.846: [GC 3572131K->2229170K(6199296K), 0.0894620 secs]
1395.300: [GC 3614706K->2289978K(6196288K), 0.1226950 secs]
1401.227: [GC 3675493K->2341403K(6114624K), 0.1491800 secs]
1407.981: [GC 3642267K->2389489K(6129600K), 0.1349080 secs]
1414.166: [GC 3690353K->2418129K(6139520K), 0.1270130 secs]
1420.343: [GC 3695825K->2428489K(6143872K), 0.1116210 secs]
1425.667: [GC 3706185K->2420196K(6148864K), 0.0845450 secs]
1430.496: [GC 3707044K->2443735K(6148032K), 0.0797980 secs]
1434.837: [GC 3730583K->2467844K(6152064K), 0.0743070 secs]
1439.139: [GC 3759876K->2491117K(6150016K), 0.0889530 secs]
1443.273: [GC 3783149K->2516640K(6157440K), 0.0915960 secs]
1447.663: [GC 3818400K->2540676K(6154368K), 0.0760860 secs]
1451.911: [GC 3842425K->2563504K(6164160K), 0.0777150 secs]
1456.340: [GC 3878448K->2589781K(6160832K), 0.0773000 secs]
1460.673: [GC 3904724K->2619623K(6172864K), 0.0826600 secs]
1465.086: [GC 3950503K->2654363K(6168064K), 0.0898150 secs]
1470.086: [GC 3985243K->2691955K(6177792K), 0.0998280 secs]
1475.085: [GC 4037235K->2731562K(6151232K), 0.1177640 secs]
1480.408: [GC 4076842K->2761855K(6166976K), 0.1117720 secs]
